,latitude,longitude,start_time,city_name,title,url,venue_name,venue_address,postal_code,all_day,calendar_count,comment_count
37,47.5424221,7.596364,2019-09-05 17:00:00,Basel,SUAN-Sommerfest,http://eventful.com/events/suansommerfest-/E0-001-129265297-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,SUAN Conceptual Design GmbH,233 Güterstrasse,,0,,
38,47.5667,7.6,2019-09-05 19:00:00,Basel,Round Table on International HR Topics,http://eventful.com/events/round-table-international-hr-topics-/E0-001-130283395-1@2019090519?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
39,47.5667,7.6,2019-09-05 19:00:00,Basel,Quickly Make Money Online - Online Webinar Basel,http://eventful.com/events/quickly-make-money-online-online-we-/E0-001-128312936-4@2019090519?utm_source=apis&utm_medium=apim&utm_campaign=apic,Museum of Contemporary Art,60 Sankt Alban-Rheinweg,,0,,
40,47.5667,7.6,2019-09-05 14:00:00,Basel,Phase 4: Success employee integration from day one following merger and acquisition,http://eventful.com/events/phase-4-success-employee-integration-/E0-001-129704976-4@2019090514?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
41,47.5667,7.6,2019-09-05 14:00:00,Basel,Phase 5: Success daily cross service collaboration for better productivity,http://eventful.com/events/phase-5-success-daily-cross-service-/E0-001-129705008-9@2019090514?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
42,47.5667,7.6,2019-09-05 14:00:00,Basel,Phase 2: Success employee integration with effective actions and reduced cost,http://eventful.com/events/phase-2-success-employee-integration-/E0-001-129704928-7@2019090514?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
43,47.5667,7.6,2019-09-05 14:00:00,Basel,Phase 1: Success recruitment with reduced risk and cost,http://eventful.com/events/phase-1-success-recruitment-reduced-/E0-001-129704907-4@2019090514?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
44,47.5667,7.6,2019-09-05 14:00:00,Basel,Phase 3: Success employee expatriation and internationalized teambuilding with reduced risk and cost,http://eventful.com/events/phase-3-success-employee-expatriatio-/E0-001-129704946-3@2019090514?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
45,47.5667,7.6,2019-09-06 14:00:00,Basel,Phase 5: Success daily cross service collaboration for better productivity,http://eventful.com/events/phase-5-success-daily-cross-service-/E0-001-129705008-9@2019090614?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
46,47.5667,7.6,2019-09-06 14:00:00,Basel,Phase 4: Success employee integration from day one following merger and acquisition,http://eventful.com/events/phase-4-success-employee-integration-/E0-001-129704976-4@2019090614?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
47,47.5667,7.6,2019-09-06 14:00:00,Basel,Phase 1: Success recruitment with reduced risk and cost,http://eventful.com/events/phase-1-success-recruitment-reduced-/E0-001-129704907-4@2019090614?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
48,47.5667,7.6,2019-09-06 14:00:00,Basel,Phase 3: Success employee expatriation and internationalized teambuilding with reduced risk and cost,http://eventful.com/events/phase-3-success-employee-expatriatio-/E0-001-129704946-3@2019090614?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
49,47.5667,7.6,2019-09-06 14:00:00,Basel,Phase 2: Success employee integration with effective actions and reduced cost,http://eventful.com/events/phase-2-success-employee-integration-/E0-001-129704928-7@2019090614?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
50,47.5667,7.6,2019-09-06 19:00:00,Basel,Round Table on International HR Topics,http://eventful.com/events/round-table-international-hr-topics-/E0-001-130283395-1@2019090619?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
51,47.5667,7.6,2019-09-06 19:00:00,Basel,Quickly Make Money Online - Online Webinar Basel,http://eventful.com/events/quickly-make-money-online-online-we-/E0-001-128312936-4@2019090619?utm_source=apis&utm_medium=apim&utm_campaign=apic,Museum of Contemporary Art,60 Sankt Alban-Rheinweg,,0,,
52,47.5667,7.6,2019-09-06 19:00:00,Basel,People & Travel,http://eventful.com/events/people-travel-/E0-001-130274267-7@2019090619?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA Basel,,,0,,
